campus_name,campus_location.x,rating,students,community_type,campus_location.y,public,private,doctoral,masters,baccalaureate,community,residential,nonresidential,liberal_arts,technical,religious,military,hbcu,hispanic_serving,aapi_serving,other_minority_serving
"University of Maryland, College Park","College Park, MD",5,37952,large urban city,"College Park, MD",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
University of Michigan-Dearborn,"Dearborn, MI",3,9000,medium city,"Dearborn, MI",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
SUNY Westchester Community College,"Valhalla, NY",4,13000,very small town,"Valhalla, NY",TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
University at Buffalo,"Buffalo, NY",3.5,29850,medium city,"Buffalo, NY",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slippery Rock University,"Slippery Rock, PA",4,8500,rural community,"Slippery Rock, PA",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Emory University,"Atlanta, GA",4.5,14769,large urban city,"Atlanta, GA",NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Washington State University,"Pullman, WA",5,19446,small town,"Pullman, WA",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidson College,"Davidson, NC",4,1850,small town,"Davidson, NC",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Virginia Commonwealth University,"Richmond, VA",4.5,31500,medium city,"Richmond, VA",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Arizona University,"Flagstaff, AZ",4.5,29000,small city,"Flagstaff, AZ",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
"California State University, Long Beach or Long Beach State","Long Beach, CA",4.5,36846,medium city,"Long Beach, CA",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
University of La Verne,"La Verne, CA",2.5,8600,small city,"La Verne, CA",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"Rutgers, The State University of New Jersey-New Brunswick","New Brunswick, NJ",5,48000,large urban city,"New Brunswick, NJ",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gettysburg College,"Gettysburg, PA",4.5,2400,very small town,"Gettysburg, PA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Northern Illinois University,"DeKalb, IL",5,16234,small city,"DeKalb, IL",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinity College,"Hartford, CT",5,2159,medium city,"Hartford, CT",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Augsburg University,"Minneapolis, MN",5,3537,large urban city,"Minneapolis, MN",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Ithaca College,"Ithaca, NY",5,6000,small city,"Ithaca, NY",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Portland State University,"Portland, OR",5,25000,large urban city,"Portland, OR",TRUE,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
Northwestern University,"Evanston, IL",4,21215,small city,"Evanston, IL",NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Colorado at Boulder,"Boulder, CO",5,30000,small city,"Boulder, CO",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern Illinois University,"Chicago, IL",2.5,10275,large urban city,"Chicago, IL",TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
Elon University,"Elon, NC",5,6500,small town,"Elon, NC",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Bridgewater State University,"Bridgewater, MA",4.5,10000,small city,"Bridgewater, MA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
New Mexico State University,"Las Cruces, NM",4.5,16765,medium city,"Las Cruces, NM",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
University of Richmond,"Richmond, VA",4.5,3890,medium city,"Richmond, VA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Tufts University,"Medford, MA",5,11926,small city,"Medford, MA",NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Nebraska at Omaha,"Omaha, NE",4.5,15500,large urban city,"Omaha, NE",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Youngstown State University,"youngstown, OH",3,11171,medium city,"youngstown, OH",TRUE,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"University of Massachusetts, Amherst","Amherst, MA",5,28500,small town,"Amherst, MA",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia University,"Morgantown, WV",4.5,34000,small city,"Morgantown, WV",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia State University,"Virginia State University, VA",4,3400,small town,"Virginia State University, VA",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
Kansas State University,"Manhattan, KS",5,20000,small city,"Manhattan, KS",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bentley University,"Waltham, MA",4.5,4100,small city,"Waltham, MA",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knox College,"Galesburg, IL",4,1300,small city,"Galesburg, IL",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Oakland University,"Rochester, MI",5,17170,small city,"Rochester, MI",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union College,"Schenectady, NY",5,2150,small city,"Schenectady, NY",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Montana State University-Bozeman,"Bozeman, MT",4,16902,small city,"Bozeman, MT",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse University,"Syracuse, NY",4,14422,medium city,"Syracuse, NY",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California State University, Northridge","Northridge, CA",4.5,36000,large urban city,"Northridge, CA",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA
SUNY Oneonta,"Oneonta, NY, NY",4,5514,small town,"Oneonta, NY, NY",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montclair State University,"Montclair, NJ",5,21000,small city,"Montclair, NJ",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA
University of New Haven,"West Haven, CT",4,6500,small city,"West Haven, CT",NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin,"Madison, WI",4.5,43193,medium city,"Madison, WI",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
